Rank,Player,FT%
207.,Marvin Williams,.8077
208.,Tim Hardaway Jr.,.8077
209.,Tom Chambers,.8075
210.,Rickey Green,.8074
211.,Andre Miller,.8070
212.,Earl Monroe*,.8070
213.,Gail Goodrich*,.8067
214.,Jim Paxson,.8067
215.,Paul Pierce*,.8065
216.,Gene Shue,.8060
217.,Phil Chenier,.8058
218.,George Hill,.8057
219.,Danny Schayes,.8055
220.,Geoff Petrie,.8054
221.,Johnny Egan,.8052
222.,Bob Love,.8050
223.,Rashard Lewis,.8049
224.,CJ McCollum,.8045
225.,Frank Ramsey*,.8044
226.,Latrell Sprewell,.8041
227.,Carl Braun*,.8040
228.,Brad Miller,.8038
229.,Austin Carr,.8038
230.,Kevin Loughery,.8035
231.,Bob Cousy*,.8033
232.,Jeff Green,.8033
233.,Gilbert Arenas,.8033
234.,Mike Dunleavy,.8033
235.,Detlef Schrempf,.8032
236.,Sam Jones*,.8032
237.,Steve Mix,.8031
238.,Joe Johnson,.8025
239.,Bobby Wanzer*,.8024
240.,Mike Bibby,.8022
241.,Ray Williams,.8017
242.,Jalen Rose,.8013
243.,Hal Greer*,.8008
244.,Alec Burks,.8008
245.,Brandon Roy,.8002
246.,Mickey Johnson,.8001
247.,Kirk Hinrich,.8000
248.,Rex Chapman,.7998
249.,Spencer Haywood*,.7995
250.,Paul Neumann,.7994
