Rank,Player,3P%
209.,Vince Carter,.3713
210.,Joe Johnson,.3710
211.,Max Strus,.3709
212.,Lauri Markkanen,.3706
213.,Eric Gordon,.3706
214.,Mirza Teletović,.3705
215.,Byron Scott,.3703
216.,De'Anthony Melton,.3702
217.,Jason Richardson,.3702
218.,Kevin Love,.3701
219.,Aaron Brooks,.3697
220.,Gary Harris,.3696
221.,Tobias Harris,.3694
222.,Chris Paul,.3691
223.,Bryon Russell,.3691
224.,Gordon Hayward,.3688
225.,Craig Ehlo,.3688
226.,Tim Thomas,.3687
227.,Manu Ginóbili*,.3687
228.,Patrick Patterson,.3686
229.,Paul Pierce*,.3685
230.,Rashad McCants,.3682
231.,Omri Casspi,.3682
232.,David Wesley,.3681
233.,Kelly Olynyk,.3680
234.,Jameer Nelson,.3679
235.,Gordan Giriček,.3677
236.,Langston Galloway,.3677
237.,JaMychal Green,.3675
238.,Terry Rozier,.3675
239.,Sasha Vujačić,.3673
240.,Kyle Lowry,.3672
241.,Tayshaun Prince,.3671
242.,Immanuel Quickley,.3669
243.,Devin Vassell,.3668
244.,Coby White,.3667
245.,Garrison Mathews,.3667
246.,Ersan İlyasova,.3665
247.,Jud Buechler,.3663
248.,Terence Davis,.3663
249.,Randy Foye,.3659
250.,P.J. Washington,.3659
