Rank,Player,TS%
206.,Tree Rollins,.5547
207.,Chris Gatling,.5547
208.,Taj Gibson,.5546
209.,Jason Terry,.5544
210.,Dwyane Wade,.5542
211.,Carlos Boozer,.5541
212.,Glen Rice,.5541
213.,Walt Bellamy*,.5540
214.,De'Aaron Fox,.5540
215.,Eddie Jones,.5538
216.,Cliff Levingston,.5538
217.,Joe Dumars*,.5536
218.,Hakeem Olajuwon*,.5534
219.,Sean Elliott,.5533
220.,Greg Monroe,.5531
221.,Andre Iguodala,.5531
222.,Eric Bledsoe,.5530
223.,DeMar DeRozan,.5529
224.,Patrick Ewing*,.5527
225.,Mike Conley,.5527
226.,Bill Laimbeer,.5524
227.,Kelly Tripucka,.5524
228.,Sam Perkins,.5523
229.,Scott Skiles,.5520
230.,Deron Williams,.5519
231.,Aaron Gordon,.5518
232.,Danny Manning,.5517
233.,CJ McCollum,.5516
234.,Jae Crowder,.5516
235.,Grant Hill*,.5512
236.,Kenny Carr,.5511
237.,Devin Harris,.5511
238.,Antoine Carr,.5510
239.,Tim Hardaway Jr.,.5509
240.,Bill Walton*,.5509
241.,Derrick McKey,.5509
242.,Bob McAdoo*,.5509
243.,Bobby Portis,.5507
244.,Larry Johnson,.5507
245.,Lou Williams,.5507
246.,Tim Duncan*,.5506
247.,Vern Fleming,.5504
248.,Phil Hubbard,.5503
249.,Roy Hinson,.5501
250.,Jerry West*,.5499
