Rank,Player,FG%
205.,Steve Nash*,.4903
206.,Brian Grant,.4900
207.,Corliss Williamson,.4899
208.,Walt Frazier*,.4898
209.,Jon McGlocklin,.4895
210.,Armen Gilliam,.4889
211.,Paul Millsap,.4889
212.,Larry Kenon,.4887
213.,Chris Kaman,.4887
214.,Udonis Haslem,.4886
215.,Lou Hudson*,.4886
216.,Tony Battie,.4885
217.,Rich Kelley,.4884
218.,Reggie Lewis,.4882
219.,Shawn Kemp,.4881
220.,Dick Snyder,.4881
221.,Pascal Siakam,.4874
222.,Mike McGee,.4869
223.,Kevin Willis,.4869
224.,Butch Beard,.4865
225.,Ralph Sampson*,.4864
226.,Nazr Mohammed,.4863
227.,Shaun Livingston,.4863
228.,Kurt Thomas,.4859
229.,Ken Norman,.4856
230.,Derrick McKey,.4856
231.,Xavier McDaniel,.4855
232.,Terry Catledge,.4850
233.,Vin Baker,.4850
234.,Paul Pressey,.4847
235.,Sedale Threatt,.4847
236.,Wally Szczerbiak,.4846
237.,Oscar Robertson*,.4846
238.,Dan Roundfield,.4845
239.,Mark Aguirre,.4844
240.,Steve Stipanovich,.4844
241.,Larry Johnson,.4844
242.,Sherman Douglas,.4843
243.,Shawn Marion,.4841
244.,Terry Tyler,.4840
245.,Bob Dandridge*,.4840
246.,Dave Corzine,.4838
247.,Terry Cummings,.4838
248.,Jeff Malone,.4838
249.,Rony Seikaly,.4837
250.,James Bailey,.4837
