Rank,Player,PPG
201.,Archie Clark,16.30
202.,Carlos Boozer,16.23
203.,Brian Winters,16.21
204.,Tobias Harris,16.20
205.,Darrell Griffith,16.20
206.,Larry Johnson,16.20
207.,Jeff Mullins,16.19
208.,Joe Dumars*,16.11
209.,Baron Davis,16.10
210.,Scottie Pippen*,16.08
211.,Buddy Hield,16.07
212.,Dave DeBusschere*,16.06
213.,Eric Gordon,16.04
214.,Cuttino Mobley,16.02
215.,Eddie Johnson,16.02
216.,Keith Van Horn,16.01
217.,Orlando Woolridge,16.01
218.,Joe Johnson,15.98
219.,Zelmo Beaty*,15.98
220.,Corey Maggette,15.96
221.,Andrew Toney,15.94
222.,Elton Brand,15.90
223.,Don Ohl,15.89
224.,Jordan Clarkson,15.87
225.,Campy Russell,15.82
226.,Dick Barnett,15.82
227.,Willie Naulls,15.79
228.,Rudy Gay,15.75
229.,Sam Cassell,15.75
230.,Billy Knight,15.74
231.,Tyreke Evans,15.74
232.,Dale Ellis,15.72
233.,Norm Nixon,15.71
234.,Michael Finley,15.69
235.,Dwight Howard,15.69
236.,Al Jefferson,15.68
237.,Xavier McDaniel,15.64
238.,Rudy LaRusso,15.63
239.,Jack Sikma*,15.62
240.,Bojan Bogdanović,15.58
241.,Paul Westphal*,15.56
242.,Danilo Gallinari,15.56
243.,Sidney Moncrief*,15.56
244.,Gordon Hayward,15.54
245.,Tony Parker,15.53
246.,Truck Robinson,15.53
247.,Ray Williams,15.51
248.,Ralph Sampson*,15.44
249.,Malcolm Brogdon,15.40
250.,Austin Carr,15.36

