Rank,Player,OWS
203.,Dick Snyder,43.66
204.,Vlade Divac*,43.52
205.,Jamaal Wilkes*,43.46
206.,Bill Cartwright,43.45
207.,George Yardley*,42.98
208.,Kyle Korver,42.88
209.,Marc Gasol,42.87
210.,Willis Reed*,42.56
211.,George Hill,42.22
212.,Brad Davis,42.17
213.,Jamal Crawford,42.09
214.,Larry Costello*,41.83
215.,Alonzo Mourning*,41.77
216.,Randy Smith,41.44
217.,P.J. Brown,41.33
218.,Isiah Thomas*,41.17
219.,Andrei Kirilenko,40.69
220.,Bob Cousy*,40.63
221.,Carlos Boozer,40.61
222.,David Thompson*,40.40
223.,Shane Battier,40.40
224.,Gordon Hayward,40.35
225.,Terrell Brandon,40.06
226.,Bobby Jones*,39.94
227.,Johnny Green,39.94
228.,Dennis Johnson*,39.91
229.,Richard Hamilton,39.77
230.,Wally Szczerbiak,39.46
231.,Mike Miller,39.17
232.,Calvin Natt,39.06
233.,Fred Brown,38.83
234.,Kemba Walker,38.47
235.,Dana Barros,38.42
236.,Isaiah Thomas,38.37
237.,Gilbert Arenas,38.29
238.,Orlando Woolridge,38.21
239.,Jim Paxson,38.20
240.,Clint Capela,38.18
241.,Brad Daugherty,38.12
242.,Mike Newlin,38.09
243.,Damon Stoudamire,38.02
244.,Paul George,37.70
245.,Michael Cage,37.44
246.,Al Jefferson,37.41
247.,Mike Mitchell,37.38
248.,Tobias Harris,37.35
249.,Shawn Kemp,37.33
250.,Nenê,37.21
